,angry,happy,peaceful,sad,fear,fun,safe,bored
0,angry,happiness,peaceful,,fear,fun,safety,bored
1,love,love,nature,sadness,love,love,safetyfirst,follow
2,sad,happy,peace,sad,anxiety,instagood,security,like
3,art,life,love,love,covid,happy,covid,love
4,cute,smile,photography,depression,horror,like,construction,art
5,follow,instagood,sunset,alone,life,follow,healthsafe,life
6,like,motivation,beautifultravel,quotes,coronavirusmentalhealth,friends,coronavirus,instagood
7,happy,familyphotography,naturephotography,brokendepressed,art,smilephotooftheday,protection,selfie
8,funnymad,like,peaceofmind,life,depression,funny,work,mecute
9,instagram,peace,calm,sadedits,faith,cute,i,followme
10,drawing,instagram,meditation,brokenheart,hope,beautiful,training,funny
11,meme,inspiration,life,follow,motivation,me,love,photooftheday
12,mood,photooftheday,relaxhappy,mood,fearless,life,k,music
13,instagood,naturebeautiful,photooftheday,like,scarydark,followme,staysafetechnology,beautiful
14,cat,joy,instagood,anxiety,quotes,instadailypicoftheday,hse,girl
15,angryface,travel,landscape,painlonely,courage,instagram,corona,instagramf
16,musicangryeyes,friends,happiness,crying,creepy,art,family,work
17,likeforlikes,picoftheday,winter,lovequotes,corona,fashion,business,smile
18,memes,positivevibes,artmindfulness,heartbroken,peace,photography,engineering,cool
19,smile,lifestylefun,sky,art,poetry,style,safetytipsstayhome,l
20,anime,follow,beach,cry,success,music,home,likes
21,photography,goodvibes,travelphotography,sadgirl,stressselflove,familyparty,fire,snapchat
22,blackangrybirds,selflove,yoga,poetryinstagram,inspiration,memes,besafe,lol
23,attitude,beauty,beauty,l,terror,travel,bhfyp,memes
24,lol,art,instagramindia,sadvideos,halloween,selfie,cctv,boredaf
25,fun,bhfyp,bhfyp,sadboy,pain,nature,car,prettyhappy
26,bhfyp,healthpositivity,ig,tears,bhfyp,bhfyp,bhfyp,bhfyp
27,anger,loveyourself,relaxing,bhfyp,photographypandemic,girl,cars,tired
28,life,me,follow,help,god,summer,emergencyhomesecurity,likeforlikes
29,angryfeminist,fashion,landscapephotography,feelingssadquotespage,healing,dance,ppe,girls
30,redd,goals,positivevibesclouds,triste,death,memefood,design,baby
31,jealous,fitness,sea,dark,you,fitness,education,explorepage
32,jiiva,music,peaceandlove,aesthetic,mindset,instalike,roadsafety,instadailyphoto
33,photooftheday,blessedcute,trees,suicide,believe,igers,life,mood
34,angrymom,christmas,mountains,bhfyp,seventeen,lol,like,meme
35,angrybaby,gratitude,photo,hate,truthemotions,funnymemes,sicurezzakids,shots
36,tiktokangryallthetime,selfcare,sunrise,hope,instagram,kids,follow,black
37,artist,likeforlikes,wanderlustgoodvibes,tumblrphotography,selfcare,tbt,industrial,hot
38,girl,instadaily,explore,hurt,panic,amazingphoto,firesafety,billieeilish
39,angryme,freedommeditation,naturelovers,s,miedo,comedy,quality,fun
40,angrymood,style,blessed,emotions,anger,instamood,travel,all
41,beautiful,believe,snow,darkness,drawing,myself,india,drawingfriends
42,likesfollowforfollowback,grateful,adventure,likeforlikes,darknesstrust,cool,instagoodsafetyofficer,followforfollowback
43,animals,mindfulness,familygrateful,insta,worry,likeforlikes,securitysystem,aesthetic
44,comedy,memories,forest,me,follow,bhfyp,accident,explore
45,canon,girl,instadaily,sadpostssadlife,meditation,beautylifestyle,awareness,my
46,sketch,photofriendship,world,death,scared,repost,a,hair
47,happiness,wedding,view,upset,sadness,sun,virus,blue
48,animalangrywoman,selfie,zen,mentalhealth,artist,sport,indonesiaprevention,sadbeauty
49,digitalart,passion,smile,explorepage,happinesshappy,adventure,innovation,awesome
50,catsofinstagram,mindset,green,heart,freedom,f,rescue,instagramers
51,angrycat,instalike,serenityocean,animesadqoutes,power,happiness,instagram,fashion
52,angryyoungmanangryorchard,happinessisherehappinessquotes,peacefull,sadnessquotes,ghost,holidaymotivation,l,makeup
53,angrycat,happinessisachoice,peacefulplace,sadnessandsorrow,fearofgod,funny,safetyfirst,family
54,angryface,happinessis,peacefulmind,sadnesss,fears,funnymemes,safetyridingsafetyshoes,boredafboredatwork
55,angrybaby,happinessoverloadhappinessproject,peacefulpakistanpeacefulness,sadnessinsideoutsadnessoverload,fearthewalkingdeadfearofheights,funnytimes,safetyboots,boredasfuck
56,angrydog,happinesss,peacefully,sadnesstime,,funnyvideos,safetypin,boredasf
57,angrykittyangryeyes,happinessiskey,peacefullife,sadnessday,,fundayfunnyshit,safetyrazor,boredomstrikes
58,angrymom,happinesshomemadehappinessdelight,peacefulparentingpeacefulhooligan,sadnessisablessingsadnessisarebellion,,funnymeme,safetyharborsafetyhunting,boredrpboredpanda
59,angrysky,happinessbeginstour,peacefulmorning,sadnessquotess,,funk,safety1st,boredd
60,angryman,happinesseverywhere,peacefulliving,sadnessgoaway,,funtime,safetycar,boredtodeath
61,angrygirl,happinessbeginshappinessday,peacefulnightpeacefulmoment,sadnesscosplaysadnessedit,,funkopop,safetythird,boredselfie
62,angrybeaversangrycats,happinessisfree,peacefulplaces,sadnesstoo,,funko,safetymeetingsafetygear,boredkikme
63,angrylook,happinesscomesfromwithin,peacefulvibes,sadnessforever,,funnypicturesfuninthesun,safetytips,boredumboredomkills
64,,happinessmoodhappinessinacup,peacefulmindpeacefuleasyfeeling,sadnessintheairsadnessinmyheart,,funtionaltraining,safetytraining,boredem
65,,happinessisthekey,,sadnessisbeautiful,,funnight,safetyglasses,boredoutofmymind
66,,,,sadnesshurtssadnessreliever,,funcional,safetybeachsafetygate,boredathome
67,,,,,,funky,safetyboot,boredinclassboredlife
68,,,,,,fundraiserfunnyposts,safetykitty,boreddd
69,,,,,,funnyvideo,,boredinthehouse
70,,,,,,funraiser,,
